model_sequence,model_version,trained_at,batches_measured,n_train_rows,n_holdout_rows,holdout_mape_pct,mape_ci_low_pct,mape_ci_high_pct,holdout_r2,holdout_mae_seconds,cv_mape_pct,baseline_mape_pct,mape_gain_over_baseline,mape_change,gate_status
1,v1-241c4b6f,2026-08-22T00:20:30+00:00,1,28,12,32.343,21.357,45.307,0.8793,0.12172,73.682,40.611,8.268,,fail
2,v2-df244983,2026-08-22T00:23:03+00:00,2,40,40,30.886,23.972,38.76,0.8669,0.10049,34.969,39.66,8.774,-1.457,fail
3,v3-f2f82ba4,2026-08-22T00:25:35+00:00,3,80,40,11.719,9.158,14.69,0.9713,0.03307,21.392,26.371,14.652,-19.167,pass
